ID,Candidate,Gender,idBank,idPassion,idInstitution
119,Russel Gavin,M,9,3,3
120,Jack May,M,5,9,8
121,Julian Kennedy,M,2,1,1
122,Bart Aldridge,M,6,9,2
123,Ramon Brown,M,6,1,4
124,Caleb Stubbs,M,4,3,6
125,Alexander Wilkinson,M,4,13,8
126,Anthony Harrison,M,1,14,4
127,Danny Mitchell,M,2,8,3
128,Luke Funnell,M,9,2,5
129,Harvey Warden,M,10,10,8
130,Hanna Huggins,F,6,4,6
131,Camden Everett,F,4,9,2
132,Carl Wooldridge,M,3,11,3
133,Joyce Fulton,F,7,5,9
134,Chad Morley,M,8,6,8
135,Hanna Mason,F,7,3,2
136,Jack Griffiths,M,7,6,5
137,Norah Tate,F,7,12,10
138,Johnathan Whitehouse,M,8,7,10
139,Josh Summers,M,7,14,10
140,Madison Collingwood,F,7,11,8
141,Mavis Page ,F,1,14,2
142,Lindsay Wise,F,4,4,6
143,Tess Brooks,F,8,8,2
144,David Wilson,M,8,11,1
145,Julius Veale,M,8,15,6
146,Wade Baker,M,10,3,8
147,Boris Funnell,M,1,13,2
148,Erick Snow,M,9,10,5
149,Aileen Gregory,F,6,12,6
150,Julia Edwards,F,6,9,4
151,Carmen Dubois,F,7,4,6
152,Liliana Sinclair,F,5,6,4
153,Eden Chappell,F,1,13,1
154,Marjorie Robinson,F,11,11,7
155,Gwenyth James,F,7,14,6
156,Chad Owen,M,5,5,1
157,Benny Osmond,M,5,11,5
158,Charlotte Zaoui,F,1,7,1
159,Alexa Clarke,F,1,7,9
160,Carl Gardner,M,8,3,5
161,Vicky Weston,F,10,1,10
162,Aurelia Thornton,F,3,4,1
163,Eduardo Bullock,M,10,4,9
164,Elijah Drummond,M,1,15,3
165,Manuel Brennan,M,7,1,5
166,Erick Denton,M,1,4,10
167,Eduardo Rowe,M,10,4,5
168,Domenic Thatcher,M,7,10,10
169,Michael Farmer,M,5,6,6
170,Barney Victor,M,2,1,10
171,Cedrick Preston,M,3,7,4
172,Leroy Lane,M,5,11,1
173,Luke Wright,M,11,3,6
174,Mark Thomson,M,10,14,3
175,Chloe Miller,F,5,8,4
176,Carter Gray,M,1,7,2
177,Jacob King,M,5,13,7
178,George Grey,M,8,4,10
179,Miley Crawford,F,10,12,2
180,Samantha Becker,F,9,12,3
181,Daron Walton,M,8,2,3
182,Fred Osmond,M,9,12,8
183,Bart Ward,M,7,12,3
184,Maxwell Stanley,M,4,1,9
185,Beatrice Power,F,9,5,8
186,Gil Wallace,M,11,6,9
187,Danny Hill,M,9,14,6
188,Isabel Silva,F,3,9,9
189,Camden Mccall,F,7,14,1
190,Chelsea Gonzales,F,5,1,10
191,Macy Harvey,F,5,13,2
192,Alan Clayton,M,4,2,3
193,Emmanuelle Murphy,F,6,11,8
194,Isla Saunders,F,8,3,2
195,Martin Thompson,M,5,5,9
196,Ciara Exton,F,1,12,9
197,Marilyn Hope,F,11,14,9
198,Bryon Dallas,M,2,10,8
199,Violet Matthews,F,1,2,1
200,Jack Harris,M,5,14,4
201,Nick Gavin,M,2,8,3
202,Mason Dale,M,7,5,7
203,Adeline Leslie,F,9,11,7
204,Crystal Mackenzie,F,9,3,5
205,Daron Walsh,M,9,11,3
206,Michael Notman,M,11,12,3
207,Colleen Evans,F,5,3,5
208,Kieth John,M,4,14,8
209,Domenic Rowan,M,9,11,7
210,Joseph Tate,M,11,7,2
211,Emery Jefferson,F,2,5,1
212,Christy Rothwell,F,3,9,10
213,Kassandra Funnell,F,5,7,9
214,Harvey Rixon,M,8,12,10
215,Eileen Gosling,F,8,6,10
216,Benny Ranks,M,10,6,4
217,Trisha Khan,F,10,1,4
218,Abdul Dale,M,9,7,10
219,Alexa Bell,F,8,3,3
220,Cynthia Turner,F,7,1,9
221,Brad Verdon,M,3,8,5
222,Chester Benson,M,11,5,4
223,Hayden Snow,M,9,9,8
224,Tiffany Addison,F,10,12,1
225,Mabel Kennedy,F,9,3,1
226,Tess Terry,F,5,8,1
227,Cristal Funnell,F,8,6,2
228,Makena Riley,F,3,3,9
229,Meredith Grey,F,2,2,1
230,Quinn Kennedy,F,2,5,7
231,Carl Nelson,M,10,6,1
232,Hayden Woodcock,M,11,5,8
233,Elle Page ,F,3,15,10
234,Elijah Irving,M,2,1,10
235,Cedrick Driscoll,M,7,10,9
236,Elisabeth White,F,10,4,7
237,Chelsea Edley,F,5,12,7
238,Camila Campbell,F,7,7,3
239,Emmanuelle Thatcher,F,3,3,5
240,Mark Speed,M,9,3,8
241,Lindsay Flynn,F,11,9,2
242,Doug Stone,M,6,9,8
243,Tyler Broomfield,M,1,15,5
244,Aiden Bolton,M,1,3,7
245,Henry Wade,M,6,11,6
246,Victoria Alcroft,F,6,8,8
247,Alba Hardwick,F,2,12,6
248,Julian Owens,M,6,5,5
249,Jacob Savage,M,4,5,9
250,Joseph Shaw,M,2,15,10
251,Josh Drummond,M,7,13,2
252,Leroy Flanders,M,11,12,10
253,Jackeline Walsh,F,6,12,8
254,Elena Nelson,F,4,8,4
255,Fiona Richardson,F,8,5,9
256,Gabriel Jenkins,M,8,1,4
257,Johnny Addis,M,4,5,6
258,Harvey Blythe,M,10,10,6
259,Harry Kerr,M,6,4,8
260,Victoria Blackwall,F,2,13,6
261,Mike Redfern,M,11,12,3
262,Catherine Dale,F,4,8,2
263,Eduardo Edwards,M,9,2,8
264,Nate Ianson,M,8,6,8
265,Nate Roscoe,M,10,9,3
266,Harvey Antcliff,M,10,11,3
267,Livia Stewart,F,1,15,6
268,Valerie Price,F,7,3,2
269,Henry Griffiths,M,11,7,3
270,Gabriel Thatcher,M,10,3,2
271,Carter Broomfield,M,10,12,2
272,Hayden Barclay,M,11,8,5
273,Marvin Doherty,M,8,11,6
274,Candice Davies,F,6,1,9
275,Emely Morris,F,11,12,5
276,Jules Potts,F,11,1,1
277,Morgan Locke,F,5,11,8
278,Cassandra Lucas,F,3,7,5
279,Maxwell Hale,M,11,7,8
280,Madison Hogg,F,5,1,10
281,Leilani Bingham,F,8,4,6
282,Alexander Wilson,M,2,8,1
283,Chester Weatcroft,M,2,9,1
284,Bob Lambert,M,7,2,10
285,Nina Sawyer,F,8,14,2
286,Gabriel Robertson,M,10,7,10
287,Ronald Brown,M,5,6,10
288,Aileen Graham,F,3,15,10
289,Piper Avery,F,5,10,4
290,Aisha Brown,F,11,5,9
291,Tom Jefferson,M,7,4,8
292,Julianna Larsen,F,7,9,2
293,Tony Hewitt,M,4,11,5
294,Tony Morgan,M,11,7,3
295,Angela Glass,F,7,12,2
296,Cedrick Gates,M,11,10,4
297,Javier Styles,M,8,15,4
298,Anais Forth,F,7,14,3
299,Doug Selby,M,8,14,10
300,Britney Harris,F,1,1,5
301,Gabriel Waterhouse,M,1,4,9
302,Nina Cox,F,11,7,2
303,Grace Walker,F,1,8,1
304,Daron Lane,M,2,12,3
305,Denis Corbett,M,8,10,3
306,Brad Niles,M,3,14,10
307,Julius Ranks,M,2,4,7
308,Sofie Brett,F,10,2,5
309,Anthony Fox,M,11,10,3
310,Louise Casey,F,7,11,5
311,Michelle Barclay,F,7,3,5
312,Shannon Holt,F,6,13,10
313,Tyler Alexander,M,8,15,6
314,Mark Abbot,M,4,6,4
315,Logan Matthews,M,1,3,2
316,Melody Lewis,F,4,1,8
317,Ruby Brown,F,10,9,10
318,Makenzie Roberts,F,3,5,2
319,Denis Lowe,M,10,14,10
320,Luna Parker,F,6,3,4
321,Owen Roscoe,M,4,8,10
322,Nina Dyson,F,1,13,10
323,John Bell,M,8,9,2
324,Carter Egerton,M,4,13,6
325,Samantha Emerson,F,8,5,1
326,Beatrice Mason,F,5,11,5
327,Liam Gilmore,M,9,9,5
328,Doug Watson,M,2,15,8
329,Liam Baldwin,M,11,14,10
330,Rocco Patel,M,2,15,8
331,Shay Noon,F,10,9,4
332,Aiden Khan,M,7,12,9
333,Marissa Patel,F,7,9,9
334,Holly Holt,F,11,8,10
335,Hayden Mcgregor,M,2,14,7
336,Luke Clayton,M,8,2,9
337,Maxwell Judd,M,7,13,3
338,Ronald Drake,M,8,3,9
339,Johnny Rees,M,10,13,3
340,Gwen Wilkinson,F,1,6,3
341,Harry Wilson,M,3,9,2
342,Helen Widdows,F,5,6,9
343,John Redfern,M,1,2,2
344,Phillip Spencer,M,1,10,7
345,Luke Richards,M,5,1,5
346,Rocco Thomson,M,2,12,9
347,Adalind Murphy,F,5,4,7
348,Evelynn Hilton,F,1,8,3
349,Willow Robinson,F,5,5,9
350,Benny Sloan,M,3,14,2
351,Russel Logan,M,3,5,9
352,Joy Chapman,F,5,1,8
353,Melinda Willson,F,2,3,2
354,Marissa Speed,F,2,9,10
355,Carmen Poulton,F,9,14,2
356,Danny Neal,M,4,13,6
357,Amelia Stanton,F,6,8,7
358,Harry Stark,M,1,1,1
359,Rick Edwards,M,6,7,9
360,Chanelle Forth,F,4,10,6
361,Benjamin Hancock,M,7,6,8
362,Priscilla Dwyer,F,10,2,9
363,Rick Gibbons,M,5,13,8
364,Parker Whittle,F,2,1,10
365,Aiden Groves,M,1,13,1
366,Doug Ring,M,7,9,8
367,Elijah Archer,M,4,1,2
368,Alan Ross,M,2,4,9
369,Nicholas Reese,M,3,14,4
370,Jack Garner,M,1,4,7
371,William Rixon,M,11,2,2
372,Karla Hall,F,9,3,7
373,Angelica Sherwood,F,1,11,9
374,Barney Downing,M,6,9,8
375,Mina Osmond,F,8,10,2
376,Mason Nobbs,M,5,13,1
377,Anthony Shelton,M,1,4,1
378,Denis Pratt,M,6,12,3
379,Cassidy Yarlett,F,9,14,5
380,Adalind Douglas,F,4,14,4
381,Benny Robertson,M,5,4,9
382,Carter Clarke,M,4,6,10
383,Leah Forester,F,8,3,1
384,Percy Booth,M,3,1,3
385,Lucy Gordon,F,9,12,4
386,Crystal Sinclair,F,6,14,7
387,Matthew Oswald,M,2,3,2
388,Sage Parker,F,1,5,7
389,Darlene Wright,F,2,10,2
390,Bree Stewart,F,6,6,1
391,Leroy Stevenson,M,7,8,6
392,Sloane Douglas,F,8,11,2
393,Julius Allington,M,2,13,10
394,Sebastian Moore,M,8,14,7
395,Manuel Baldwin,M,10,12,1
396,Isabel Hill,F,5,12,4
397,Mina Sawyer,F,7,1,7
398,Blake Gordon,F,8,3,4
399,John Richards,M,7,5,6
400,Chester Ingram,M,5,14,8
401,Matthew Moreno,M,9,5,3
402,Henry Robinson,M,5,1,9
403,Anais Holt,F,6,12,10
404,Greta Eastwood,F,2,11,6
405,David Tindall,M,4,10,3
406,Piper Plumb,F,4,2,8
407,Harriet Nicolas,F,6,7,8
408,Marjorie Forth,F,7,13,4
409,Bryon Vincent,M,7,4,9
410,Joseph Jackson,M,5,10,5
411,Rosalee Rycroft,F,9,10,3
412,Barney Emmott,M,6,4,5
413,Julian Smith,M,2,6,4
414,Lucas Umney,M,6,8,1
415,Lucas Wilson,M,7,5,2
416,Julian Price,M,10,2,9
417,Rick Collins,M,3,13,5
418,Camila Benson,F,1,4,10
419,Nick Whitehouse,M,11,5,4
420,Agnes Jenkins,F,8,1,4
421,Maribel Butler,F,6,4,5
422,Bethany Robertson,F,11,7,4
423,Leroy Leigh,M,10,11,3
424,Barney Matthews,M,5,11,6
425,Courtney Whinter,F,5,14,4
426,Peter Wade,M,3,8,7
427,Freya Lomax,F,3,2,7
428,Julius Franks,M,2,2,7
429,Mavis Higgs,F,1,5,8
430,Penny Cox,F,10,1,4
431,Rufus Varndell,M,9,12,7
432,Mackenzie Swan,F,10,5,10
433,Phoebe Richardson,F,11,14,2
434,Tyson Stanley,M,6,15,2
435,Cara Utterson,F,7,5,3
436,Bristol Roman,F,3,9,7
437,Mark Jacobs,M,9,4,4
438,Angelique Terry,F,4,11,4
439,Amelia Robinson,F,10,14,7
440,Parker Pickard,F,3,7,3
441,Mya Emerson,F,5,15,8
442,Goldie Hall,F,11,4,4
443,Bethany Russell,F,11,6,4
444,Hank Forth,M,4,9,2
445,Ellen Roth,F,10,2,7
446,Benjamin Rodwell,M,3,6,3
447,Mary Oswald,F,3,15,3
448,Chuck Cartwright,M,3,7,6
449,Nathan Dale,M,8,5,8
450,Logan Vane,F,11,4,7
451,Eduardo Robertson,M,9,12,7
452,Gemma Morris,F,2,3,9
453,Tyler Rees,M,5,13,7
454,Chadwick Yates,M,7,7,1
455,Alex Styles,F,5,12,4
456,Stephanie Malone,F,4,10,3
457,Harry Healy,M,5,8,9
458,Elise Armstrong,F,7,9,4
459,Jacob Widdows,M,5,11,7
460,Willow Lynch,F,11,11,3
461,Samantha Adler,F,10,5,2
462,Maggie Huggins,F,5,11,4
463,Chelsea Newman,F,7,9,2
464,Rosie Quinton,F,7,13,4
465,Miriam Dowson,F,3,10,2
466,Jamie Franks,F,11,15,7
467,Alexander Brett,M,3,10,5
468,Camila Wilkinson,F,10,8,10
469,Tiffany Edler,F,8,14,7
470,Matt Fox,M,1,11,6
471,Parker Blackwall,F,2,10,3
472,Kieth Rycroft,M,8,10,10
473,Tony Lunt,M,11,15,9
474,Carl Swan,M,5,9,4
475,Jessica Speed,F,7,5,1
476,Ivette Jordan,F,1,6,5
477,Hannah Bryson,F,8,1,1
478,Susan Vallins,F,3,1,4
479,Alexa Pope,F,4,6,3
480,Drew Glynn,F,3,11,3
481,Erick Henderson,M,4,13,1
482,Chester Phillips,M,9,7,3
483,Ryan Brown,M,6,12,4
484,Kirsten Lunt,F,3,3,10
485,Gil Rosenbloom,M,2,14,8
486,Mason Keys,M,6,7,3
487,Logan Ellison,M,9,1,5
488,Tess Walsh,F,2,7,2
489,Jacob Bennett,M,6,4,8
490,Carl Alcroft,M,8,5,5
491,Angelique Warren,F,5,12,8
492,Chris Amstead,M,10,11,10
493,Jayden Mason,M,2,10,8
494,Marvin Allen,M,2,5,3
495,Martha Stubbs,F,11,6,5
496,Eryn Webster,F,4,4,9
497,Esmeralda Lambert,F,6,14,7
498,Sylvia Graham,F,9,14,9
499,Nathan Yarlett,M,2,12,10
500,Oliver Antcliff,M,4,11,7
501,Clint Ward,M,5,8,5
502,Mason Oliver,M,10,13,9
503,Alan Lindop,M,8,10,7
504,Rosalie Lyon,F,11,5,3
505,Leanne Vaughn,F,4,9,3
506,Remy Goodman,F,6,13,2
507,Nicholas Hale,M,1,13,10
508,Gabriel Wright,M,1,1,3
509,Hailey Richards,F,4,8,2
510,Ron Allen,M,11,10,1
511,Stella Villiger,F,2,4,1
512,Hayden Richards,M,8,9,9
513,Eduardo Bloom,M,9,9,5
514,Gabriel Varley,M,6,1,6
515,Joseph Rainford,M,10,11,3
516,Samantha Victor,F,8,15,7
517,Louise Wild,F,2,5,7
518,Faith Callan,F,4,6,2
519,Bryce Vallory,F,5,5,4
520,Jayden Sherry,M,2,5,5
521,Holly Wood,F,2,15,4
522,Mandy Wilkinson,F,11,10,3
523,Jocelyn Reading,F,4,3,8
524,Jacqueline Sherwood,F,1,10,10
525,Alan Campbell,M,3,3,6
526,Marjorie Eddison,F,11,3,10
527,Matthew Carter,M,9,12,7
528,Cara Jennson,F,5,13,1
529,Cadence Goldsmith,F,3,13,2
530,Manuel Adams,M,5,4,7
531,Raquel Nelson,F,9,13,10
532,John Rodwell,M,10,9,6
533,Leslie Skinner,F,11,13,1
534,Joy Harper,F,11,3,6
535,Daphne Sheldon,F,6,1,5
536,Danny Torres,M,3,4,6
537,Aurelia Walter,F,7,7,2
538,Kieth Morgan,M,7,8,10
539,Cadence Watson,F,1,4,10
540,Megan Jacobs,F,9,13,9
541,Gabriel Knott,M,1,10,2
542,Rachael Veale,F,8,2,3
543,Daron Graham,M,10,8,8
544,Alison Richards,F,9,15,1
545,Ron Lucas,M,8,5,7
546,Valerie Needham,F,6,3,7
547,Phoebe Ingram,F,11,1,3
548,Dani Vaughn,F,4,8,8
549,Anthony Hardwick,M,9,2,6
550,Kate Archer,F,5,12,8
551,Harvey Jones,M,9,4,2
552,Oliver Morgan,M,4,4,3
553,Lauren Gordon,F,11,15,4
554,Alexander Owen,M,5,12,8
555,Mabel Patel,F,1,5,10
556,Julius Holmes,M,7,10,5
557,David Noach,M,6,10,4
558,Lana Forth,F,10,12,10
559,Hayden Cassidy,M,7,4,1
560,Matthew Hilton,M,8,2,10
561,Maribel Wigley,F,1,10,10
562,Martha Emmott,F,10,9,8
563,Penelope Broomfield,F,8,1,6
564,Eduardo Dempsey,M,5,2,9
565,Rita Ross,F,8,12,1
566,Eve Grey,F,10,1,1
567,Johnathan Tennant,M,5,12,1
568,Bart Lomax,M,7,4,1
569,Alice Plant,F,8,13,5
570,Julius Rycroft,M,1,6,9
571,Tom Sylvester,M,9,13,2
572,Liliana Pope,F,3,4,7
573,Roger Briggs,M,1,1,8
574,Ron Steer,M,4,7,3
575,Hayden Alexander,M,11,15,5
576,Melanie Ward,F,7,5,2
577,Doug Flanders,M,1,10,5
578,Wade Carter,M,1,3,3
579,Ryan Pitt,M,2,8,1
580,Caleb Donnelly,M,6,4,3
581,Hank Lindop,M,11,5,2
582,Willow Furnell,F,11,15,2
583,Janice Moreno,F,11,4,10
584,Sydney Pond,F,5,12,4
585,Ramon Dann,M,5,4,5
586,Tyler Stevenson,M,4,3,6
587,William Thomas,M,1,7,8
588,Matt Stone ,M,3,12,3
589,Ryan Robe,M,8,3,1
590,Doris Kennedy,F,5,9,6
591,Alexa Turner,F,3,14,1
592,Nate Flanders,M,2,1,1
593,Esmeralda Radley,F,11,4,9
594,Mark Larkin,M,9,14,5
595,Tess Hunt,F,6,8,3
596,Carina Brock,F,1,10,7
597,Aiden Allcott,M,2,9,9
598,Hadley Higgs,F,4,1,7
599,Maria Walsh,F,9,6,10
600,Maxwell Callan,M,10,14,8
601,Cameron Jenkins,F,4,6,1
602,Mara Walton,F,11,10,5
603,Fred Hopkinson,M,8,12,10
604,Tyson Victor,M,1,7,6
605,Bob Uttridge,M,6,3,6
606,Nina Sherwood,F,9,8,8
607,Isla Watson,F,7,8,8
608,Audrey Leigh,F,9,14,8
609,Grace Addison,F,9,10,2
610,Wade Harrison,M,5,5,3
611,Mandy Raven,F,4,10,1
612,Estrella Glynn,F,5,3,10
613,Bernadette Pickard,F,7,3,2
614,Maxwell Victor,M,1,15,7
615,Rufus Whittle,M,6,13,8
616,Joy Bright,F,8,7,2
617,Mona Yard,F,11,15,7
618,Carla Clark,F,5,8,3
619,Enoch Young,M,9,8,1
620,Erick Moran,M,11,10,5
621,Oliver Hale,M,8,1,2
622,Henry Rees,M,3,9,5
623,Chris Bowen,M,6,13,8
624,Carter Speed,M,5,12,2
625,Lucas Truscott,M,3,3,6
626,Kassandra Fisher,F,10,3,7
627,Harmony Willson,F,2,1,9
628,Kate Clifford,F,10,2,10
629,Johnathan Wade,M,6,9,8
630,Bernadette Abbey,F,4,5,7
631,Bridget Parker,F,6,3,4
632,Bryon Andrews,M,11,10,5
633,Anthony Walker,M,5,5,5
634,Christy West,F,2,15,4
635,Caydence Campbell,F,11,6,5
636,Ruth Everett,F,4,5,4
637,Rose Dyson,F,5,7,1
638,Chuck Young,M,9,3,8
639,Leilani Buckley,F,6,9,2
640,Daron Uttley,M,1,1,6
641,Chadwick Baxter,M,3,4,2
642,Maia Coleman,F,6,5,4
643,Trisha Dillon,F,10,13,5
644,Cadence Morley,F,6,8,9
645,Elijah Rogers,M,1,5,7
646,Hanna Lucas,F,9,15,6
647,Leanne Ellis,F,5,3,3
648,Owen Ingram,M,6,13,10
649,Alice Atkinson,F,1,5,9
650,Rufus Rosenbloom,M,3,14,4
651,Angel Lynch,F,8,10,9
652,Gabriel Kelly,M,9,10,6
653,Cristal Johnson,F,8,7,3
654,Kendra Shaw,F,1,6,7
655,Madison Cox,F,7,6,10
656,Ron Uddin,M,10,13,2
657,Julian Selby,M,9,2,2
658,Tyson Ellis,M,2,2,9
659,Callie Donovan,F,6,6,5
660,Liam Miller,M,6,5,6
661,Barry Clark,M,4,8,10
662,Leilani Parsons,F,1,14,8
663,Brad Holmes,M,6,12,2
664,Danny Partridge,M,5,2,8
665,Eden Dempsey,F,5,6,9
666,Harvey Dyson,M,8,7,8
667,Enoch Douglas,M,8,2,3
668,Rosemary Ianson,F,8,12,7
669,Clint Lynn,M,2,10,6
670,Trisha Simpson,F,2,8,8
671,Cameron Tyrrell,F,5,13,4
672,Carrie Eddison,F,9,12,1
673,Danielle Jennson,F,4,6,9
674,Hannah Emerson,F,7,15,7
675,Erin Evans,F,8,7,8
676,Daron Reyes,M,3,10,6
677,Johnathan Abbey,M,10,14,1
678,Ada Ulyatt,F,8,3,8
679,Mona Strong,F,8,14,7
680,Ada Bailey,F,5,2,9
681,Anais Hopkinson,F,11,2,5
682,Daniel Savage,M,5,11,8
683,Marjorie Weasley,F,2,9,3
684,Greta Jacobs,F,2,7,7
685,Ramon Willis,M,11,11,9
686,Luke Cartwright,M,5,7,6
687,Cecilia Roman,F,6,11,1
688,Margot Carter,F,9,10,2
689,Isabel Ripley,F,5,15,10
690,Judith Giles,F,3,8,4
691,Ryan Fox,M,11,3,5
692,Faith Upton,F,11,8,6
693,Michael Craig,M,1,13,9
694,Marissa Fenton,F,7,10,6
695,Maddison Khan,F,9,12,7
696,Hayden Ingram,M,5,2,6
697,Isabel Redwood,F,7,14,4
698,Josephine Cassidy,F,5,4,8
699,Maggie Dwyer,F,4,5,6
700,Kimberly Addis,F,5,7,5
701,Eryn Walsh,F,7,2,3
702,Isabel Tutton,F,2,8,3
703,Maxwell Graham,M,1,11,5
704,Fred Coll,M,5,1,9
705,Mark Lane,M,2,10,9
706,Johnathan Ellison,M,5,12,8
707,Elijah Morgan,M,11,11,6
708,Daphne Edmonds,F,5,1,7
709,Jack Hardwick,M,7,13,2
710,William Swan,M,1,4,10
711,Megan Stark,F,2,13,5
712,Vicky Nanton,F,2,12,3
713,Luke Blackburn,M,4,7,1
714,Luke Dyson,M,3,10,5
715,Owen Hale,M,11,15,8
716,Cedrick Shea,M,6,3,8
717,Joseph Tindall,M,7,8,4
718,Agnes Addis,F,10,15,1
719,Brad Lindop,M,10,1,5
720,Gabriel Sherry,M,10,10,1
721,Bryon Willson,M,2,2,7
722,Chris Bradshaw,M,11,4,6
723,Lucas Hale,M,3,1,8
724,Ryan Brown,M,2,7,1
725,Alexia Randall,F,6,7,4
726,Adina Dickson,F,8,8,8
727,Jade Sherry,F,4,5,9
728,Summer Owen,F,6,2,10
729,Bryce Parker,F,11,3,3
730,Daniel Pope,M,10,3,3
731,Charlotte Olson,F,2,1,10
732,Harvey Wilkinson,M,9,10,8
733,Bart Saunders,M,4,13,3
734,Chad Webster,M,7,13,2
735,Sabina Wilcox,F,5,10,10
736,Daniel Crawford,M,7,9,8
737,Enoch Oldfield,M,6,7,2
738,Anabel Todd,F,11,1,3
739,Vera Spencer,F,4,4,9
740,Britney Burnley,F,3,14,6
741,Erick Wilde,M,7,7,10
742,Elly Russell,F,2,1,8
743,Nathan Ainsworth,M,4,6,9
744,Barney Owen,M,4,8,6
745,Logan Robinson,M,10,6,7
746,Remy Pope,F,7,9,3
747,Gabriel Williams,M,2,8,5
748,Phoebe Mason,F,5,1,7
749,Evelynn Dwyer,F,5,4,4
750,Martha Evans,F,9,4,9
751,Ronald Raven,M,1,15,7
752,Gabriel Morris,M,3,12,3
753,Maggie Weasley,F,3,9,7
754,Marvin Bailey,M,4,1,2
755,Jacob Wilton,M,7,5,8
756,Ryan Kennedy,M,5,9,9
757,Carolyn Durrant,F,11,2,4
